Reviewing 44651 records with 24 workers
  21000/44651 (20 skip, 115 err) 2.9/s eta=8218s
  21200/44651 (20 skip, 117 err) 2.9/s eta=8164s
  21400/44651 (20 skip, 117 err) 2.9/s eta=8092s
  21600/44651 (20 skip, 118 err) 2.9/s eta=8026s
  21800/44651 (20 skip, 118 err) 2.9/s eta=7955s
  22000/44651 (20 skip, 118 err) 2.9/s eta=7885s
  22200/44651 (22 skip, 119 err) 2.9/s eta=7820s
  22400/44651 (22 skip, 119 err) 2.9/s eta=7757s
  22600/44651 (22 skip, 119 err) 2.9/s eta=7687s
  22800/44651 (22 skip, 119 err) 2.9/s eta=7618s
  23000/44651 (23 skip, 120 err) 2.9/s eta=7555s
  23200/44651 (23 skip, 123 err) 2.9/s eta=7485s
  23400/44651 (23 skip, 123 err) 2.9/s eta=7427s
  23600/44651 (23 skip, 124 err) 2.9/s eta=7379s
  23800/44651 (23 skip, 124 err) 2.9/s eta=7312s
  24000/44651 (23 skip, 124 err) 2.8/s eta=7250s
  24200/44651 (23 skip, 124 err) 2.8/s eta=7197s
  24400/44651 (23 skip, 124 err) 2.8/s eta=7145s
  24600/44651 (27 skip, 124 err) 2.8/s eta=7075s
  24800/44651 (39 skip, 125 err) 2.8/s eta=7003s
  25000/44651 (43 skip, 125 err) 2.8/s eta=6934s
  25200/44651 (45 skip, 125 err) 2.8/s eta=6866s
  25400/44651 (45 skip, 125 err) 2.8/s eta=6800s
  25600/44651 (45 skip, 125 err) 2.8/s eta=6732s
  25800/44651 (45 skip, 125 err) 2.8/s eta=6661s
  26000/44651 (45 skip, 125 err) 2.8/s eta=6598s
  26200/44651 (45 skip, 125 err) 2.8/s eta=6528s
  26400/44651 (45 skip, 125 err) 2.8/s eta=6469s
  26600/44651 (45 skip, 126 err) 2.8/s eta=6417s
  26800/44651 (51 skip, 127 err) 2.8/s eta=6352s
  27000/44651 (52 skip, 128 err) 2.8/s eta=6287s
  27200/44651 (52 skip, 128 err) 2.8/s eta=6214s
  27400/44651 (52 skip, 128 err) 2.8/s eta=6142s
  27600/44651 (55 skip, 128 err) 2.8/s eta=6075s
  27800/44651 (55 skip, 129 err) 2.8/s eta=6001s
  28000/44651 (55 skip, 129 err) 2.8/s eta=5939s
  28200/44651 (55 skip, 130 err) 2.8/s eta=5867s
  28400/44651 (56 skip, 131 err) 2.8/s eta=5802s
  28600/44651 (56 skip, 131 err) 2.8/s eta=5730s
  28800/44651 (56 skip, 131 err) 2.8/s eta=5662s
  29000/44651 (58 skip, 131 err) 2.8/s eta=5596s
  29200/44651 (58 skip, 132 err) 2.8/s eta=5520s
  29400/44651 (59 skip, 132 err) 2.8/s eta=5447s
  29600/44651 (59 skip, 132 err) 2.8/s eta=5372s
  29800/44651 (61 skip, 133 err) 2.8/s eta=5303s
  30000/44651 (64 skip, 134 err) 2.8/s eta=5229s
  30200/44651 (64 skip, 134 err) 2.8/s eta=5156s
  30400/44651 (65 skip, 134 err) 2.8/s eta=5085s
  30600/44651 (65 skip, 135 err) 2.8/s eta=5012s
  30800/44651 (68 skip, 135 err) 2.8/s eta=4941s
  31000/44651 (69 skip, 135 err) 2.8/s eta=4875s
  31200/44651 (75 skip, 136 err) 2.8/s eta=4812s
  31400/44651 (75 skip, 137 err) 2.8/s eta=4744s
  31600/44651 (79 skip, 137 err) 2.8/s eta=4673s
  31800/44651 (84 skip, 139 err) 2.8/s eta=4602s
  32000/44651 (84 skip, 139 err) 2.8/s eta=4531s
  32200/44651 (84 skip, 140 err) 2.8/s eta=4462s
  32400/44651 (84 skip, 140 err) 2.8/s eta=4393s
  32600/44651 (84 skip, 140 err) 2.8/s eta=4323s
  32800/44651 (85 skip, 140 err) 2.8/s eta=4256s
  33000/44651 (85 skip, 140 err) 2.8/s eta=4187s
  33200/44651 (85 skip, 140 err) 2.8/s eta=4128s
  33400/44651 (85 skip, 140 err) 2.8/s eta=4072s
  33600/44651 (85 skip, 140 err) 2.8/s eta=4015s
  33800/44651 (85 skip, 141 err) 2.7/s eta=3952s
  34000/44651 (94 skip, 142 err) 2.7/s eta=3882s
  34200/44651 (94 skip, 142 err) 2.7/s eta=3810s
  34400/44651 (97 skip, 142 err) 2.7/s eta=3737s
  34600/44651 (97 skip, 142 err) 2.7/s eta=3666s
  34800/44651 (97 skip, 145 err) 2.7/s eta=3597s
  35000/44651 (97 skip, 147 err) 2.7/s eta=3526s
  35200/44651 (97 skip, 148 err) 2.7/s eta=3454s
  35400/44651 (97 skip, 148 err) 2.7/s eta=3381s
  35600/44651 (97 skip, 150 err) 2.7/s eta=3310s
  35800/44651 (97 skip, 150 err) 2.7/s eta=3239s
  36000/44651 (97 skip, 151 err) 2.7/s eta=3166s
  36200/44651 (98 skip, 151 err) 2.7/s eta=3094s
  36400/44651 (99 skip, 152 err) 2.7/s eta=3021s
  36600/44651 (99 skip, 152 err) 2.7/s eta=2950s
  36800/44651 (99 skip, 153 err) 2.7/s eta=2878s
  37000/44651 (99 skip, 153 err) 2.7/s eta=2809s
  37200/44651 (99 skip, 154 err) 2.7/s eta=2735s
  37400/44651 (99 skip, 154 err) 2.7/s eta=2667s
  37600/44651 (99 skip, 155 err) 2.7/s eta=2599s
  37800/44651 (99 skip, 155 err) 2.7/s eta=2526s
  38000/44651 (99 skip, 155 err) 2.7/s eta=2457s
  38200/44651 (99 skip, 156 err) 2.7/s eta=2385s
  38400/44651 (99 skip, 156 err) 2.7/s eta=2315s
  38600/44651 (105 skip, 158 err) 2.7/s eta=2242s
  38800/44651 (105 skip, 160 err) 2.7/s eta=2170s
  39000/44651 (109 skip, 184 err) 2.7/s eta=2111s
  39200/44651 (109 skip, 184 err) 2.7/s eta=2038s
  39400/44651 (109 skip, 184 err) 2.7/s eta=1964s
  39600/44651 (109 skip, 184 err) 2.7/s eta=1889s
  39800/44651 (109 skip, 184 err) 2.7/s eta=1814s
  40000/44651 (109 skip, 184 err) 2.7/s eta=1741s
  40200/44651 (112 skip, 184 err) 2.7/s eta=1666s
  40400/44651 (114 skip, 184 err) 2.7/s eta=1591s
  40600/44651 (114 skip, 184 err) 2.7/s eta=1516s
  40800/44651 (114 skip, 184 err) 2.7/s eta=1442s
  41000/44651 (114 skip, 184 err) 2.7/s eta=1367s
  41200/44651 (114 skip, 184 err) 2.7/s eta=1293s
  41400/44651 (114 skip, 184 err) 2.7/s eta=1219s
  41600/44651 (114 skip, 184 err) 2.7/s eta=1144s
  41800/44651 (114 skip, 186 err) 2.7/s eta=1069s
  42000/44651 (114 skip, 186 err) 2.7/s eta=994s
  42200/44651 (114 skip, 187 err) 2.7/s eta=920s
  42400/44651 (114 skip, 190 err) 2.7/s eta=845s
  42600/44651 (114 skip, 190 err) 2.7/s eta=770s
  42800/44651 (114 skip, 190 err) 2.7/s eta=694s
  43000/44651 (114 skip, 190 err) 2.7/s eta=619s
  43200/44651 (114 skip, 191 err) 2.7/s eta=544s
  43400/44651 (114 skip, 191 err) 2.7/s eta=469s
  43600/44651 (114 skip, 191 err) 2.7/s eta=394s
  43800/44651 (114 skip, 191 err) 2.7/s eta=319s
  44000/44651 (114 skip, 196 err) 2.7/s eta=244s
  44200/44651 (114 skip, 196 err) 2.7/s eta=169s
  44400/44651 (114 skip, 196 err) 2.7/s eta=94s
, 169 err)   42800/44651 (  43000/44651 (1521 skip, 169 err)   43000/44651 
  43200/44651 (1521 skip, 169 err)   43200/44651 (  43400/44651 (1521 skip, 170 err) 2.8/s eta=454s
  43600/44651 (1525 skip, 171 err) 2.8/s eta=381s
  43800/44651 (1529 skip, 171 err) 2.8/s eta=309s
  44000/44651 (1536 skip, 175 err) 2.8/s eta=236s
  44200/44651 (1536 skip, 175 err) 2.8/s eta=164s
  44400/44651 (1536 skip, 175 err) 2.8/s eta=91s
