Processing 5933 LIFT targets with 24 workers
  100/5933 (47 skip, 3 nodisa, 0 fail) 1.9/s eta=3110s
  200/5933 (129 skip, 4 nodisa, 0 fail) 3.5/s eta=1625s
  300/5933 (172 skip, 27 nodisa, 0 fail) 4.7/s eta=1196s
  400/5933 (228 skip, 45 nodisa, 0 fail) 5.8/s eta=947s
  500/5933 (279 skip, 73 nodisa, 0 fail) 6.8/s eta=797s
  600/5933 (354 skip, 90 nodisa, 0 fail) 7.9/s eta=677s
  700/5933 (425 skip, 118 nodisa, 0 fail) 8.8/s eta=592s
  800/5933 (509 skip, 133 nodisa, 0 fail) 9.9/s eta=519s
  900/5933 (577 skip, 164 nodisa, 0 fail) 10.7/s eta=471s
  1000/5933 (657 skip, 184 nodisa, 0 fail) 11.6/s eta=426s
  1100/5933 (729 skip, 211 nodisa, 0 fail) 12.4/s eta=390s
  1200/5933 (804 skip, 235 nodisa, 0 fail) 13.1/s eta=360s
  1300/5933 (883 skip, 256 nodisa, 0 fail) 13.9/s eta=334s
  1400/5933 (963 skip, 276 nodisa, 0 fail) 14.7/s eta=309s
  1500/5933 (1042 skip, 297 nodisa, 0 fail) 15.4/s eta=287s
  1600/5933 (1121 skip, 318 nodisa, 0 fail) 16.1/s eta=268s
  1700/5933 (1189 skip, 350 nodisa, 0 fail) 16.7/s eta=253s
  1800/5933 (1266 skip, 373 nodisa, 0 fail) 17.2/s eta=240s
  1900/5933 (1342 skip, 397 nodisa, 0 fail) 17.7/s eta=228s
  2000/5933 (1413 skip, 426 nodisa, 0 fail) 18.2/s eta=216s
  2100/5933 (1486 skip, 453 nodisa, 0 fail) 18.7/s eta=205s
  2200/5933 (1558 skip, 481 nodisa, 0 fail) 19.2/s eta=195s
  2300/5933 (1630 skip, 509 nodisa, 0 fail) 19.7/s eta=185s
  2400/5933 (1704 skip, 535 nodisa, 0 fail) 20.1/s eta=176s
  2500/5933 (1776 skip, 563 nodisa, 0 fail) 20.5/s eta=168s
  2600/5933 (1853 skip, 586 nodisa, 0 fail) 21.0/s eta=159s
  2700/5933 (1931 skip, 608 nodisa, 0 fail) 21.5/s eta=151s
  2800/5933 (2005 skip, 634 nodisa, 0 fail) 21.8/s eta=143s
  2900/5933 (2074 skip, 665 nodisa, 0 fail) 22.1/s eta=137s
  3000/5933 (2147 skip, 692 nodisa, 0 fail) 22.4/s eta=131s
  3100/5933 (2215 skip, 724 nodisa, 0 fail) 22.6/s eta=125s
  3200/5933 (2276 skip, 763 nodisa, 0 fail) 22.8/s eta=120s
  3300/5933 (2354 skip, 785 nodisa, 0 fail) 23.1/s eta=114s
  3400/5933 (2427 skip, 812 nodisa, 0 fail) 23.4/s eta=108s
  3500/5933 (2508 skip, 831 nodisa, 0 fail) 23.8/s eta=102s
  3600/5933 (2588 skip, 851 nodisa, 0 fail) 24.2/s eta=97s
  3700/5933 (2666 skip, 873 nodisa, 0 fail) 24.4/s eta=91s
  3800/5933 (2746 skip, 893 nodisa, 0 fail) 24.9/s eta=86s
  3900/5933 (2827 skip, 912 nodisa, 0 fail) 25.2/s eta=81s
  4000/5933 (2903 skip, 936 nodisa, 0 fail) 25.5/s eta=76s
  4100/5933 (2987 skip, 952 nodisa, 0 fail) 25.9/s eta=71s
  4200/5933 (3069 skip, 970 nodisa, 0 fail) 26.3/s eta=66s
  4300/5933 (3150 skip, 989 nodisa, 0 fail) 26.6/s eta=61s
  4400/5933 (3232 skip, 1007 nodisa, 0 fail) 27.0/s eta=57s
  4500/5933 (3313 skip, 1026 nodisa, 0 fail) 27.4/s eta=52s
  4600/5933 (3397 skip, 1042 nodisa, 0 fail) 27.7/s eta=48s
  4700/5933 (3477 skip, 1062 nodisa, 0 fail) 28.1/s eta=44s
  4800/5933 (3557 skip, 1082 nodisa, 0 fail) 28.4/s eta=40s
  4900/5933 (3646 skip, 1093 nodisa, 0 fail) 28.8/s eta=36s
  5000/5933 (3719 skip, 1120 nodisa, 0 fail) 29.0/s eta=32s
  5100/5933 (3801 skip, 1138 nodisa, 0 fail) 29.4/s eta=28s
  5200/5933 (3878 skip, 1161 nodisa, 0 fail) 29.7/s eta=25s
  5300/5933 (3957 skip, 1182 nodisa, 0 fail) 30.0/s eta=21s
  5400/5933 (4036 skip, 1203 nodisa, 0 fail) 30.3/s eta=18s
  5500/5933 (4113 skip, 1226 nodisa, 0 fail) 30.6/s eta=14s
  5600/5933 (4194 skip, 1245 nodisa, 0 fail) 30.8/s eta=11s
  5700/5933 (4271 skip, 1268 nodisa, 0 fail) 31.1/s eta=8s
  5800/5933 (4346 skip, 1293 nodisa, 0 fail) 31.2/s eta=4s
  5900/5933 (4429 skip, 1310 nodisa, 0 fail) 31.5/s eta=1s
DONE: 5933 in 189.3s
