Reviewing 44651 records with 24 workers
  20400/44651 (20369 skip, 0 err) 895.5/s eta=27s
  20600/44651 (20569 skip, 0 err) 900.8/s eta=27s
  20800/44651 (20769 skip, 0 err) 907.8/s eta=26s
  21000/44651 (20969 skip, 0 err) 914.2/s eta=26s
  21200/44651 (21169 skip, 0 err) 922.2/s eta=25s
  21400/44651 (21369 skip, 0 err) 929.5/s eta=25s
  21600/44651 (21569 skip, 0 err) 936.4/s eta=25s
  21800/44651 (21769 skip, 0 err) 943.7/s eta=24s
  22000/44651 (21969 skip, 0 err) 950.2/s eta=24s
  22200/44651 (22169 skip, 0 err) 956.7/s eta=23s
  22400/44651 (22369 skip, 0 err) 962.3/s eta=23s
  22600/44651 (22569 skip, 0 err) 970.1/s eta=23s
  22800/44651 (22767 skip, 0 err) 976.3/s eta=22s
  23000/44651 (22967 skip, 0 err) 980.7/s eta=22s
  23200/44651 (23167 skip, 0 err) 989.2/s eta=22s
  23400/44651 (23367 skip, 0 err) 997.6/s eta=21s
  23600/44651 (23567 skip, 0 err) 1005.0/s eta=21s
  23800/44651 (23767 skip, 0 err) 1011.8/s eta=21s
  24000/44651 (23967 skip, 0 err) 1018.4/s eta=20s
  24200/44651 (24166 skip, 0 err) 1025.9/s eta=20s
  24400/44651 (24366 skip, 0 err) 1031.8/s eta=20s
  24600/44651 (24566 skip, 0 err) 1040.2/s eta=19s
  24800/44651 (24626 skip, 0 err) 331.1/s eta=60s
  25000/44651 (24626 skip, 0 err) 173.1/s eta=114s
  25200/44651 (24626 skip, 0 err) 113.8/s eta=171s
  25400/44651 (24626 skip, 1 err) 85.7/s eta=225s
  25600/44651 (24626 skip, 1 err) 68.9/s eta=276s
  25800/44651 (24626 skip, 1 err) 58.0/s eta=325s
  26000/44651 (24628 skip, 1 err) 49.4/s eta=377s
  26200/44651 (24638 skip, 2 err) 43.8/s eta=422s
  26400/44651 (24638 skip, 2 err) 38.6/s eta=473s
  26600/44651 (24638 skip, 2 err) 34.2/s eta=527s
  26800/44651 (24638 skip, 2 err) 31.2/s eta=573s
  27000/44651 (24638 skip, 3 err) 28.7/s eta=616s
  27200/44651 (24638 skip, 3 err) 26.9/s eta=648s
  27400/44651 (24638 skip, 3 err) 25.3/s eta=681s
  27600/44651 (24640 skip, 3 err) 23.9/s eta=714s
  27800/44651 (24640 skip, 3 err) 22.7/s eta=742s
  28000/44651 (24640 skip, 3 err) 21.3/s eta=781s
  28200/44651 (24642 skip, 3 err) 20.4/s eta=807s
  28400/44651 (24643 skip, 3 err) 19.4/s eta=838s
  28600/44651 (24643 skip, 3 err) 18.7/s eta=861s
  28800/44651 (24644 skip, 3 err) 17.9/s eta=888s
  29000/44651 (24649 skip, 5 err) 17.1/s eta=914s
  29200/44651 (24649 skip, 5 err) 16.6/s eta=930s
